"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.679587892004411	1	1	"Churn"	"Yes"	0
2	0.69019738644621	1	1	"Churn"	"Yes"	0
3	0.692350105938766	1	1	"Churn"	"Yes"	0
4	0.694636263367381	1	1	"Churn"	"Yes"	0
5	0.706400202377941	1	1	"Churn"	"Yes"	0
6	0.711551715650076	1	1	"Churn"	"Yes"	0
7	0.672781636032258	1	1	"Churn"	"Yes"	0
8	0.669212669683258	1	1	"Churn"	"Yes"	0
9	0.677732558139535	1	1	"Churn"	"Yes"	0
10	0.718358011602559	1	1	"Churn"	"Yes"	0
11	0.719029343179168	1	1	"Churn"	"Yes"	0
12	0.726279069767442	1	1	"Churn"	"Yes"	0
13	0.705357454076475	1	1	"Churn"	"Yes"	0
14	0.660851611519279	1	1	"Churn"	"Yes"	0
15	0.655179487179487	1	1	"Churn"	"Yes"	0
16	0.713398692810458	1	1	"Churn"	"Yes"	0
17	0.683492032646716	1	1	"Churn"	"Yes"	0
18	0.670027709359606	1	1	"Churn"	"Yes"	0
19	0.667277950974998	1	1	"Churn"	"Yes"	0
20	0.666754594214367	1	1	"Churn"	"Yes"	0
21	0.697767126490531	1	1	"Churn"	"Yes"	0
22	0.5	0	1	"Churn"	"Yes"	0
23	0.693204408841209	1	1	"Churn"	"Yes"	0
24	0.728088129771441	1	1	"Churn"	"Yes"	0
25	0.68266177312718	1	1	"Churn"	"Yes"	0
26	0.721249938463053	1	1	"Churn"	"Yes"	0
27	0.684080378989016	1	1	"Churn"	"Yes"	0
28	0.69009382894262	1	1	"Churn"	"Yes"	0
29	0.718268958085191	1	1	"Churn"	"Yes"	0
30	0.689212669683258	1	1	"Churn"	"Yes"	0
1	0.706697444978497	2	2	"Churn"	"Yes"	0
2	0.703643672952467	2	2	"Churn"	"Yes"	0
3	0.696576411307134	2	2	"Churn"	"Yes"	0
4	0.686552337132699	2	2	"Churn"	"Yes"	0
5	0.704102564102564	2	2	"Churn"	"Yes"	0
6	0.716856200462758	2	2	"Churn"	"Yes"	0
7	0.717061840120664	2	2	"Churn"	"Yes"	0
8	0.689717294900222	2	2	"Churn"	"Yes"	0
9	0.718453309826438	2	2	"Churn"	"Yes"	0
10	0.683115139308493	2	2	"Churn"	"Yes"	0
11	0.673301458157227	2	2	"Churn"	"Yes"	0
12	0.72858650186532	2	2	"Churn"	"Yes"	0
13	0.701681804187192	2	2	"Churn"	"Yes"	0
14	0.706484483019043	2	2	"Churn"	"Yes"	0
15	0.68852780857354	2	2	"Churn"	"Yes"	0
16	0.695884966097732	2	2	"Churn"	"Yes"	0
17	0.712719884851032	2	2	"Churn"	"Yes"	0
18	0.692242142913205	2	2	"Churn"	"Yes"	0
19	0.695865219709744	2	2	"Churn"	"Yes"	0
20	0.729846014492754	2	2	"Churn"	"Yes"	0
21	0.719294117647059	2	2	"Churn"	"Yes"	0
22	0.692640147700571	2	2	"Churn"	"Yes"	0
23	0.711294689021344	2	2	"Churn"	"Yes"	0
24	0.717127032081715	2	2	"Churn"	"Yes"	0
25	0.711029597773843	2	2	"Churn"	"Yes"	0
26	0.705677840118928	2	2	"Churn"	"Yes"	0
27	0.685115227092121	2	2	"Churn"	"Yes"	0
28	0.670156801304342	2	2	"Churn"	"Yes"	0
29	0.717447916666667	2	2	"Churn"	"Yes"	0
30	0.683628318584071	2	2	"Churn"	"Yes"	0
1	0.883185969685192	3	3	"Churn"	"Yes"	0
2	0.875408067282687	3	3	"Churn"	"Yes"	0
3	0.870150888593512	3	3	"Churn"	"Yes"	0
4	0.684698996655518	2	3	"Churn"	"Yes"	0
5	0.899186991869919	3	3	"Churn"	"Yes"	0
6	0.695375272671468	2	3	"Churn"	"Yes"	0
7	0.694975697379544	2	3	"Churn"	"Yes"	0
8	0.68801743957497	2	3	"Churn"	"Yes"	0
9	0.692023721470837	2	3	"Churn"	"Yes"	0
10	0.860432645034415	3	3	"Churn"	"Yes"	0
11	0.883596487922523	3	3	"Churn"	"Yes"	0
12	0.880760562029444	3	3	"Churn"	"Yes"	0
13	0.892050936900664	3	3	"Churn"	"Yes"	0
14	0.895734797297297	3	3	"Churn"	"Yes"	0
15	0.905128675346904	3	3	"Churn"	"Yes"	0
16	0.902051294269003	3	3	"Churn"	"Yes"	0
17	0.689037548554165	2	3	"Churn"	"Yes"	0
18	0.713086150490731	2	3	"Churn"	"Yes"	0
19	0.908918638058561	3	3	"Churn"	"Yes"	0
20	0.888217194570136	3	3	"Churn"	"Yes"	0
21	0.895221238938053	3	3	"Churn"	"Yes"	0
22	0.887841945288754	3	3	"Churn"	"Yes"	0
23	0.910040794334975	3	3	"Churn"	"Yes"	0
24	0.659226453047253	2	3	"Churn"	"Yes"	0
25	0.717290636527745	2	3	"Churn"	"Yes"	0
26	0.695455255349055	2	3	"Churn"	"Yes"	0
27	0.910202023523737	3	3	"Churn"	"Yes"	0
28	0.720068429084822	2	3	"Churn"	"Yes"	0
29	0.705599364264319	2	3	"Churn"	"Yes"	0
30	0.719914596273292	2	3	"Churn"	"Yes"	0
1	0.909200618994826	4	4	"Churn"	"Yes"	0
2	0.913240815231966	4	4	"Churn"	"Yes"	0
3	0.896434389140272	4	4	"Churn"	"Yes"	0
4	0.899142463916434	4	4	"Churn"	"Yes"	0
5	0.900109544023004	4	4	"Churn"	"Yes"	0
6	0.946255446623094	4	4	"Churn"	"Yes"	0
7	0.904590818363273	4	4	"Churn"	"Yes"	0
8	0.890184799614168	4	4	"Churn"	"Yes"	0
9	0.929844083502525	4	4	"Churn"	"Yes"	0
10	0.881007339015151	4	4	"Churn"	"Yes"	0
11	0.949667759480474	4	4	"Churn"	"Yes"	0
12	0.942947947513846	4	4	"Churn"	"Yes"	0
13	0.908409431647812	4	4	"Churn"	"Yes"	0
14	0.855985475558332	4	4	"Churn"	"Yes"	0
15	0.90186552662262	4	4	"Churn"	"Yes"	0
16	0.922451070318177	4	4	"Churn"	"Yes"	0
17	0.933246178600161	4	4	"Churn"	"Yes"	0
18	0.937184392732573	4	4	"Churn"	"Yes"	0
19	0.912070824092086	4	4	"Churn"	"Yes"	0
20	0.854332175602486	4	4	"Churn"	"Yes"	0
21	0.909041864479931	4	4	"Churn"	"Yes"	0
22	0.939073514602216	4	4	"Churn"	"Yes"	0
23	0.908709434512243	4	4	"Churn"	"Yes"	0
24	0.893036973097396	4	4	"Churn"	"Yes"	0
25	0.936409541395033	4	4	"Churn"	"Yes"	0
26	0.926040711534935	4	4	"Churn"	"Yes"	0
27	0.901622418879056	4	4	"Churn"	"Yes"	0
28	0.868266842329175	4	4	"Churn"	"Yes"	0
29	0.920713197120448	4	4	"Churn"	"Yes"	0
30	0.958264720558882	4	4	"Churn"	"Yes"	0
1	0.940638037692418	5	5	"Churn"	"Yes"	0
2	0.926505016722408	5	5	"Churn"	"Yes"	0
3	0.897889370245139	5	5	"Churn"	"Yes"	0
4	0.944773910984849	5	5	"Churn"	"Yes"	0
5	0.939392419175028	5	5	"Churn"	"Yes"	0
6	0.914807884231537	5	5	"Churn"	"Yes"	0
7	0.90019873743278	5	5	"Churn"	"Yes"	0
8	0.929637909696994	5	5	"Churn"	"Yes"	0
9	0.943361394181066	5	5	"Churn"	"Yes"	0
10	0.940617502606424	5	5	"Churn"	"Yes"	0
11	0.932334406006972	5	5	"Churn"	"Yes"	0
12	0.924844776272578	5	5	"Churn"	"Yes"	0
13	0.916042363433668	5	5	"Churn"	"Yes"	0
14	0.914490296937105	5	5	"Churn"	"Yes"	0
15	0.920835084769511	5	5	"Churn"	"Yes"	0
16	0.899875710227273	5	5	"Churn"	"Yes"	0
17	0.912309850834441	5	5	"Churn"	"Yes"	0
18	0.924969333515061	5	5	"Churn"	"Yes"	0
19	0.922305354220248	5	5	"Churn"	"Yes"	0
20	0.932146326533328	5	5	"Churn"	"Yes"	0
21	0.923530187502997	5	5	"Churn"	"Yes"	0
22	0.940475375416496	5	5	"Churn"	"Yes"	0
23	0.894433367794023	5	5	"Churn"	"Yes"	0
24	0.944318447509937	5	5	"Churn"	"Yes"	0
25	0.896619261036807	5	5	"Churn"	"Yes"	0
26	0.939158872791735	5	5	"Churn"	"Yes"	0
27	0.93451501723289	5	5	"Churn"	"Yes"	0
28	0.943769729667681	5	5	"Churn"	"Yes"	0
29	0.953862633415435	5	5	"Churn"	"Yes"	0
30	0.949241862817753	5	5	"Churn"	"Yes"	0
1	0.913980518849592	6	6	"Churn"	"Yes"	0
2	0.905830639215019	6	6	"Churn"	"Yes"	0
3	0.952109309386911	6	6	"Churn"	"Yes"	0
4	0.931402714932127	6	6	"Churn"	"Yes"	0
5	0.908900299529311	6	6	"Churn"	"Yes"	0
6	0.939354449472097	6	6	"Churn"	"Yes"	0
7	0.910232277526395	6	6	"Churn"	"Yes"	0
8	0.937862950058072	6	6	"Churn"	"Yes"	0
9	0.944314444725525	6	6	"Churn"	"Yes"	0
10	0.88267001798754	6	6	"Churn"	"Yes"	0
11	0.932254448647891	6	6	"Churn"	"Yes"	0
12	0.922352941176471	6	6	"Churn"	"Yes"	0
13	0.92310641709366	6	6	"Churn"	"Yes"	0
14	0.913176470588235	6	6	"Churn"	"Yes"	0
15	0.950562263257576	6	6	"Churn"	"Yes"	0
16	0.926528152442174	6	6	"Churn"	"Yes"	0
17	0.880408337917966	6	6	"Churn"	"Yes"	0
18	0.906765006881462	6	6	"Churn"	"Yes"	0
19	0.917002349781806	6	6	"Churn"	"Yes"	0
20	0.955081584203188	6	6	"Churn"	"Yes"	0
21	0.93025402451632	6	6	"Churn"	"Yes"	0
22	0.923186698406529	6	6	"Churn"	"Yes"	0
23	0.926041666666667	6	6	"Churn"	"Yes"	0
24	0.907381744271988	6	6	"Churn"	"Yes"	0
25	0.951273999889338	6	6	"Churn"	"Yes"	0
26	0.945234182939101	6	6	"Churn"	"Yes"	0
27	0.913743541452414	6	6	"Churn"	"Yes"	0
28	0.914590184669871	6	6	"Churn"	"Yes"	0
29	0.932881359996164	6	6	"Churn"	"Yes"	0
30	0.920470588235294	6	6	"Churn"	"Yes"	0
1	0.931579664713098	7	7	"Churn"	"Yes"	0
2	0.926848523124757	7	7	"Churn"	"Yes"	0
3	0.935722305389222	7	7	"Churn"	"Yes"	0
4	0.926967827580822	7	7	"Churn"	"Yes"	0
5	0.909648164198415	7	7	"Churn"	"Yes"	0
6	0.877607538483671	7	7	"Churn"	"Yes"	0
7	0.904610376991838	7	7	"Churn"	"Yes"	0
8	0.904201343052287	7	7	"Churn"	"Yes"	0
9	0.935992423152544	7	7	"Churn"	"Yes"	0
10	0.940560629615235	7	7	"Churn"	"Yes"	0
11	0.945024010597781	7	7	"Churn"	"Yes"	0
12	0.954214869804424	7	7	"Churn"	"Yes"	0
13	0.92014390111873	7	7	"Churn"	"Yes"	0
14	0.923669931564944	7	7	"Churn"	"Yes"	0
15	0.912211391719588	7	7	"Churn"	"Yes"	0
16	0.898546417727243	7	7	"Churn"	"Yes"	0
17	0.914557423241352	7	7	"Churn"	"Yes"	0
18	0.963227370689655	7	7	"Churn"	"Yes"	0
19	0.957910968087959	7	7	"Churn"	"Yes"	0
20	0.927126792308061	7	7	"Churn"	"Yes"	0
21	0.933267781055392	7	7	"Churn"	"Yes"	0
22	0.869304066700698	7	7	"Churn"	"Yes"	0
23	0.954319616553659	7	7	"Churn"	"Yes"	0
24	0.92952193880374	7	7	"Churn"	"Yes"	0
25	0.92512733646234	7	7	"Churn"	"Yes"	0
26	0.929254783484391	7	7	"Churn"	"Yes"	0
27	0.918999500998004	7	7	"Churn"	"Yes"	0
28	0.931151883196589	7	7	"Churn"	"Yes"	0
29	0.922638290229885	7	7	"Churn"	"Yes"	0
30	0.904632026627219	7	7	"Churn"	"Yes"	0
1	0.889939750595488	8	8	"Churn"	"Yes"	0
2	0.915282051282051	8	8	"Churn"	"Yes"	0
3	0.928446455505279	8	8	"Churn"	"Yes"	0
4	0.952781723484848	8	8	"Churn"	"Yes"	0
5	0.923725742342764	8	8	"Churn"	"Yes"	0
6	0.909609539396773	8	8	"Churn"	"Yes"	0
7	0.92656382079459	8	8	"Churn"	"Yes"	0
8	0.92191770968206	8	8	"Churn"	"Yes"	0
9	0.921448659817483	8	8	"Churn"	"Yes"	0
10	0.925041845123812	8	8	"Churn"	"Yes"	0
11	0.949281877907256	8	8	"Churn"	"Yes"	0
12	0.942361827607729	8	8	"Churn"	"Yes"	0
13	0.937107035928144	8	8	"Churn"	"Yes"	0
14	0.949164353699358	8	8	"Churn"	"Yes"	0
15	0.970953717650281	8	8	"Churn"	"Yes"	0
16	0.898179568046629	8	8	"Churn"	"Yes"	0
17	0.872311626746507	8	8	"Churn"	"Yes"	0
18	0.896305821837737	8	8	"Churn"	"Yes"	0
19	0.923108046690537	8	8	"Churn"	"Yes"	0
20	0.879900650991061	8	8	"Churn"	"Yes"	0
21	0.920870758483034	8	8	"Churn"	"Yes"	0
22	0.929301884959192	8	8	"Churn"	"Yes"	0
23	0.955780419934227	8	8	"Churn"	"Yes"	0
24	0.915156587174238	8	8	"Churn"	"Yes"	0
25	0.922528405218878	8	8	"Churn"	"Yes"	0
26	0.915338759601055	8	8	"Churn"	"Yes"	0
27	0.91603726082578	8	8	"Churn"	"Yes"	0
28	0.885988200589971	8	8	"Churn"	"Yes"	0
29	0.938029104188569	8	8	"Churn"	"Yes"	0
30	0.899609711301154	8	8	"Churn"	"Yes"	0
1	0.925680242445384	9	9	"Churn"	"Yes"	0
2	0.893956043956044	9	9	"Churn"	"Yes"	0
3	0.915181793576326	9	9	"Churn"	"Yes"	0
4	0.920400911772593	9	9	"Churn"	"Yes"	0
5	0.890016014074341	9	9	"Churn"	"Yes"	0
6	0.920657616892911	9	9	"Churn"	"Yes"	0
7	0.892205255681818	9	9	"Churn"	"Yes"	0
8	0.911220646876385	9	9	"Churn"	"Yes"	0
9	0.905800898203593	9	9	"Churn"	"Yes"	0
10	0.917385529977232	9	9	"Churn"	"Yes"	0
11	0.917192965410027	9	9	"Churn"	"Yes"	0
12	0.934620541700188	9	9	"Churn"	"Yes"	0
13	0.931742101477342	9	9	"Churn"	"Yes"	0
14	0.88804366918431	9	9	"Churn"	"Yes"	0
15	0.938597832040455	9	9	"Churn"	"Yes"	0
16	0.916530920060332	9	9	"Churn"	"Yes"	0
17	0.907946795772815	9	9	"Churn"	"Yes"	0
18	0.867860739461948	9	9	"Churn"	"Yes"	0
19	0.86685369011653	9	9	"Churn"	"Yes"	0
20	0.90164150835103	9	9	"Churn"	"Yes"	0
21	0.92289861580727	9	9	"Churn"	"Yes"	0
22	0.886044891721334	9	9	"Churn"	"Yes"	0
23	0.891625942684766	9	9	"Churn"	"Yes"	0
24	0.912446650362058	9	9	"Churn"	"Yes"	0
25	0.924982244318182	9	9	"Churn"	"Yes"	0
26	0.910476721623851	9	9	"Churn"	"Yes"	0
27	0.891469079939668	9	9	"Churn"	"Yes"	0
28	0.928787878787879	9	9	"Churn"	"Yes"	0
29	0.936550151975684	9	9	"Churn"	"Yes"	0
30	0.907272954091816	9	9	"Churn"	"Yes"	0
1	0.898642528613944	10	10	"Churn"	"Yes"	0
2	0.870277354632413	10	10	"Churn"	"Yes"	0
3	0.922969896281305	10	10	"Churn"	"Yes"	0
4	0.908985600425669	10	10	"Churn"	"Yes"	0
5	0.917704027541187	10	10	"Churn"	"Yes"	0
6	0.926697808120733	10	10	"Churn"	"Yes"	0
7	0.881001508295626	10	10	"Churn"	"Yes"	0
8	0.919154984172104	10	10	"Churn"	"Yes"	0
9	0.945400085579803	10	10	"Churn"	"Yes"	0
10	0.944684772591749	10	10	"Churn"	"Yes"	0
11	0.909664631635906	10	10	"Churn"	"Yes"	0
12	0.910729847494553	10	10	"Churn"	"Yes"	0
13	0.933687315634218	10	10	"Churn"	"Yes"	0
14	0.91336624335833	10	10	"Churn"	"Yes"	0
15	0.910351170568562	10	10	"Churn"	"Yes"	0
16	0.898259192730347	10	10	"Churn"	"Yes"	0
17	0.899623404793272	10	10	"Churn"	"Yes"	0
18	0.895602569782898	10	10	"Churn"	"Yes"	0
19	0.906931646623978	10	10	"Churn"	"Yes"	0
20	0.912182298695457	10	10	"Churn"	"Yes"	0
21	0.920656301313629	10	10	"Churn"	"Yes"	0
22	0.920083560046638	10	10	"Churn"	"Yes"	0
23	0.901085511741249	10	10	"Churn"	"Yes"	0
24	0.908208651033424	10	10	"Churn"	"Yes"	0
25	0.925299267689138	10	10	"Churn"	"Yes"	0
26	0.883217285030329	10	10	"Churn"	"Yes"	0
27	0.897227802330253	10	10	"Churn"	"Yes"	0
28	0.913675861977191	10	10	"Churn"	"Yes"	0
29	0.94094395280236	10	10	"Churn"	"Yes"	0
30	0.921289355322339	10	10	"Churn"	"Yes"	0
1	0.915422454062225	11	11	"Churn"	"Yes"	0
2	0.890757381258023	11	11	"Churn"	"Yes"	0
3	0.914102328993215	11	11	"Churn"	"Yes"	0
4	0.944801100538806	11	11	"Churn"	"Yes"	0
5	0.903818351326154	11	11	"Churn"	"Yes"	0
6	0.914100563450749	11	11	"Churn"	"Yes"	0
7	0.884347462216315	11	11	"Churn"	"Yes"	0
8	0.90116144018583	11	11	"Churn"	"Yes"	0
9	0.895152515434929	11	11	"Churn"	"Yes"	0
10	0.891607915050739	11	11	"Churn"	"Yes"	0
11	0.890681196950079	11	11	"Churn"	"Yes"	0
12	0.885420715118539	11	11	"Churn"	"Yes"	0
13	0.921976979509234	11	11	"Churn"	"Yes"	0
14	0.888194332585773	11	11	"Churn"	"Yes"	0
15	0.920519670550155	11	11	"Churn"	"Yes"	0
16	0.93180590621899	11	11	"Churn"	"Yes"	0
17	0.883975867269985	11	11	"Churn"	"Yes"	0
18	0.910516467065868	11	11	"Churn"	"Yes"	0
19	0.909154338135538	11	11	"Churn"	"Yes"	0
20	0.921592775041051	11	11	"Churn"	"Yes"	0
21	0.903833074232414	11	11	"Churn"	"Yes"	0
22	0.882396035593887	11	11	"Churn"	"Yes"	0
23	0.852035398230088	11	11	"Churn"	"Yes"	0
24	0.912872869318182	11	11	"Churn"	"Yes"	0
25	0.909446649029982	11	11	"Churn"	"Yes"	0
26	0.931318226400194	11	11	"Churn"	"Yes"	0
27	0.887537636140607	11	11	"Churn"	"Yes"	0
28	0.918115868904661	11	11	"Churn"	"Yes"	0
29	0.901157353285013	11	11	"Churn"	"Yes"	0
30	0.908305240211086	11	11	"Churn"	"Yes"	0
1	0.848589743589744	12	12	"Churn"	"Yes"	0
2	0.914762521132713	12	12	"Churn"	"Yes"	0
3	0.894953200101189	12	12	"Churn"	"Yes"	0
4	0.907373376439226	12	12	"Churn"	"Yes"	0
5	0.883246283648051	12	12	"Churn"	"Yes"	0
6	0.915776772247361	12	12	"Churn"	"Yes"	0
7	0.894228166726813	12	12	"Churn"	"Yes"	0
8	0.879146241830065	12	12	"Churn"	"Yes"	0
9	0.894666453750649	12	12	"Churn"	"Yes"	0
10	0.899776525456665	12	12	"Churn"	"Yes"	0
11	0.921812770179293	12	12	"Churn"	"Yes"	0
12	0.910770992763809	12	12	"Churn"	"Yes"	0
13	0.886354343489412	12	12	"Churn"	"Yes"	0
14	0.905004240882104	12	12	"Churn"	"Yes"	0
15	0.907048108075066	12	12	"Churn"	"Yes"	0
16	0.921514654588995	12	12	"Churn"	"Yes"	0
17	0.875267197823552	12	12	"Churn"	"Yes"	0
18	0.881234915526951	12	12	"Churn"	"Yes"	0
19	0.921642484542853	12	12	"Churn"	"Yes"	0
20	0.89913470993117	12	12	"Churn"	"Yes"	0
21	0.895094235033259	12	12	"Churn"	"Yes"	0
22	0.887360362770199	12	12	"Churn"	"Yes"	0
23	0.901550662878788	12	12	"Churn"	"Yes"	0
24	0.918339087901021	12	12	"Churn"	"Yes"	0
25	0.908877349159248	12	12	"Churn"	"Yes"	0
26	0.924880309606992	12	12	"Churn"	"Yes"	0
27	0.891157768958307	12	12	"Churn"	"Yes"	0
28	0.925664350952196	12	12	"Churn"	"Yes"	0
29	0.931358040930865	12	12	"Churn"	"Yes"	0
30	0.907021695763688	12	12	"Churn"	"Yes"	0
1	0.903977302306211	13	13	"Churn"	"Yes"	0
2	0.853866421813246	13	13	"Churn"	"Yes"	0
3	0.890755314018186	13	13	"Churn"	"Yes"	0
4	0.88585480536677	13	13	"Churn"	"Yes"	0
5	0.860203548728139	13	13	"Churn"	"Yes"	0
6	0.930214943120105	13	13	"Churn"	"Yes"	0
7	0.902965131815911	13	13	"Churn"	"Yes"	0
8	0.849685883222469	13	13	"Churn"	"Yes"	0
9	0.904791929382093	13	13	"Churn"	"Yes"	0
10	0.934437375249501	13	13	"Churn"	"Yes"	0
11	0.847213122565428	13	13	"Churn"	"Yes"	0
12	0.899737876802097	13	13	"Churn"	"Yes"	0
13	0.899436549251313	13	13	"Churn"	"Yes"	0
14	0.867187051598462	13	13	"Churn"	"Yes"	0
15	0.898254954155575	13	13	"Churn"	"Yes"	0
16	0.900593471810089	13	13	"Churn"	"Yes"	0
17	0.885403065485643	12	13	"Churn"	"Yes"	0
