"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.682322485207101	1	1	"Churn"	"Yes"	0
2	0.719371599731035	1	1	"Churn"	"Yes"	0
3	0.683852677888744	1	1	"Churn"	"Yes"	0
4	0.676136363636364	1	1	"Churn"	"Yes"	0
5	0.693135624538064	1	1	"Churn"	"Yes"	0
6	0.698816287878788	1	1	"Churn"	"Yes"	0
7	0.71138375917025	1	1	"Churn"	"Yes"	0
8	0.699704374057315	1	1	"Churn"	"Yes"	0
9	0.693403136026087	1	1	"Churn"	"Yes"	0
10	0.707303417632554	1	1	"Churn"	"Yes"	0
11	0.664485294923652	1	1	"Churn"	"Yes"	0
12	0.737534724465405	1	1	"Churn"	"Yes"	0
13	0.691234961031881	1	1	"Churn"	"Yes"	0
14	0.684091012825779	1	1	"Churn"	"Yes"	0
15	0.5	0	1	"Churn"	"Yes"	0
16	0.699551623267635	1	1	"Churn"	"Yes"	0
17	0.710613905325444	1	1	"Churn"	"Yes"	0
18	0.676652723869817	1	1	"Churn"	"Yes"	0
19	0.710489638730974	1	1	"Churn"	"Yes"	0
20	0.668762038627727	1	1	"Churn"	"Yes"	0
21	0.701123240707326	1	1	"Churn"	"Yes"	0
22	0.693135624538064	1	1	"Churn"	"Yes"	0
23	0.7082147068984	1	1	"Churn"	"Yes"	0
24	0.698000173466986	1	1	"Churn"	"Yes"	0
25	0.697065918377394	1	1	"Churn"	"Yes"	0
26	0.691466056220155	1	1	"Churn"	"Yes"	0
27	0.699903279697529	1	1	"Churn"	"Yes"	0
28	0.654044878387253	1	1	"Churn"	"Yes"	0
29	0.678867014865408	1	1	"Churn"	"Yes"	0
30	0.715215234075693	1	1	"Churn"	"Yes"	0
1	0.718453309826438	2	2	"Churn"	"Yes"	0
2	0.742681088167814	2	2	"Churn"	"Yes"	0
3	0.691046658259773	2	2	"Churn"	"Yes"	0
4	0.688763743631	2	2	"Churn"	"Yes"	0
5	0.705145815722739	2	2	"Churn"	"Yes"	0
6	0.718346907993967	2	2	"Churn"	"Yes"	0
7	0.715682515337423	2	2	"Churn"	"Yes"	0
8	0.710362426513341	2	2	"Churn"	"Yes"	0
9	0.702861413623745	2	2	"Churn"	"Yes"	0
10	0.686129385964912	2	2	"Churn"	"Yes"	0
11	0.698351875242907	2	2	"Churn"	"Yes"	0
12	0.745211406096362	2	2	"Churn"	"Yes"	0
13	0.707199479744806	2	2	"Churn"	"Yes"	0
14	0.698698574521833	2	2	"Churn"	"Yes"	0
15	0.726345197656673	2	2	"Churn"	"Yes"	0
16	0.696963783504563	2	2	"Churn"	"Yes"	0
17	0.700645550527903	2	2	"Churn"	"Yes"	0
18	0.712168560606061	2	2	"Churn"	"Yes"	0
19	0.709618263473054	2	2	"Churn"	"Yes"	0
20	0.699462433594738	2	2	"Churn"	"Yes"	0
21	0.692843956471045	2	2	"Churn"	"Yes"	0
22	0.694884376214536	2	2	"Churn"	"Yes"	0
23	0.719271706841176	2	2	"Churn"	"Yes"	0
24	0.706424123238283	2	2	"Churn"	"Yes"	0
25	0.697629129654982	2	2	"Churn"	"Yes"	0
26	0.696250409701737	2	2	"Churn"	"Yes"	0
27	0.710535037878788	2	2	"Churn"	"Yes"	0
28	0.688875272331155	2	2	"Churn"	"Yes"	0
29	0.682926829268293	2	2	"Churn"	"Yes"	0
30	0.707964549060717	2	2	"Churn"	"Yes"	0
1	0.70502120758483	2	3	"Churn"	"Yes"	0
2	0.673356239262845	2	3	"Churn"	"Yes"	0
3	0.723545808664991	2	3	"Churn"	"Yes"	0
4	0.865051437923778	3	3	"Churn"	"Yes"	0
5	0.707079083883262	2	3	"Churn"	"Yes"	0
6	0.871085088691796	3	3	"Churn"	"Yes"	0
7	0.712522135087275	2	3	"Churn"	"Yes"	0
8	0.716623305490894	2	3	"Churn"	"Yes"	0
9	0.896246714346843	3	3	"Churn"	"Yes"	0
10	0.690123396813059	2	3	"Churn"	"Yes"	0
11	0.903820267549764	3	3	"Churn"	"Yes"	0
12	0.694225983738539	2	3	"Churn"	"Yes"	0
13	0.898950817386455	3	3	"Churn"	"Yes"	0
14	0.696927203999512	2	3	"Churn"	"Yes"	0
15	0.729281558310144	2	3	"Churn"	"Yes"	0
16	0.661463844797178	2	3	"Churn"	"Yes"	0
17	0.704210244033253	2	3	"Churn"	"Yes"	0
18	0.892863321223735	3	3	"Churn"	"Yes"	0
19	0.676087576046687	2	3	"Churn"	"Yes"	0
20	0.672214952791461	2	3	"Churn"	"Yes"	0
21	0.708098523124757	2	3	"Churn"	"Yes"	0
22	0.679125777302759	2	3	"Churn"	"Yes"	0
23	0.744048301425351	2	3	"Churn"	"Yes"	0
24	0.682141183820084	2	3	"Churn"	"Yes"	0
25	0.691032127498103	2	3	"Churn"	"Yes"	0
26	0.698845700263261	2	3	"Churn"	"Yes"	0
27	0.698517572225105	2	3	"Churn"	"Yes"	0
28	0.712383770076078	2	3	"Churn"	"Yes"	0
29	0.715056818181818	2	3	"Churn"	"Yes"	0
30	0.698089270611219	2	3	"Churn"	"Yes"	0
1	0.879265236261385	4	4	"Churn"	"Yes"	0
2	0.907809212064531	4	4	"Churn"	"Yes"	0
3	0.906842564870259	4	4	"Churn"	"Yes"	0
4	0.902523347701149	4	4	"Churn"	"Yes"	0
