"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
1	0.683006218422075	1	1	"Churn"	0
2	0.711427145708583	1	1	"Churn"	0
3	0.692420074576686	1	1	"Churn"	0
4	0.713116620288389	1	1	"Churn"	0
5	0.701164279033131	1	1	"Churn"	0
6	0.709406751884628	1	1	"Churn"	0
7	0.699046396479002	1	1	"Churn"	0
8	0.679135641269953	1	1	"Churn"	0
9	0.729031793986477	1	1	"Churn"	0
10	0.695638605474671	1	1	"Churn"	0
11	0.708545709609539	1	1	"Churn"	0
12	0.692400568181818	1	1	"Churn"	0
13	0.705296471605458	1	1	"Churn"	0
14	0.669403420132141	1	1	"Churn"	0
15	0.692017117497887	1	1	"Churn"	0
16	0.680356945780188	1	1	"Churn"	0
17	0.698796336258572	1	1	"Churn"	0
18	0.651157065484983	1	1	"Churn"	0
19	0.691686958158356	1	1	"Churn"	0
20	0.695704374057315	1	1	"Churn"	0
21	0.681130345064771	1	1	"Churn"	0
22	0.735057190871144	1	1	"Churn"	0
23	0.692370402340191	1	1	"Churn"	0
24	0.705075655169407	1	1	"Churn"	0
25	0.693146037389476	1	1	"Churn"	0
26	0.681771988174427	1	1	"Churn"	0
27	0.69962106490478	1	1	"Churn"	0
28	0.714309709929582	1	1	"Churn"	0
29	0.692281386300694	1	1	"Churn"	0
30	0.717441930618401	1	1	"Churn"	0
1	0.680339400334125	2	2	"Churn"	0
2	0.701878834355828	2	2	"Churn"	0
3	0.690295012033954	2	2	"Churn"	0
4	0.708631048517346	2	2	"Churn"	0
5	0.709212669683258	2	2	"Churn"	0
6	0.699021945106669	2	2	"Churn"	0
7	0.722553888419273	2	2	"Churn"	0
8	0.676768192388407	2	2	"Churn"	0
9	0.68467063932003	2	2	"Churn"	0
10	0.716741516966068	2	2	"Churn"	0
11	0.678579236300039	2	2	"Churn"	0
12	0.705382799671593	2	2	"Churn"	0
13	0.694945360012234	2	2	"Churn"	0
14	0.688583476495393	2	2	"Churn"	0
15	0.691124151843022	2	2	"Churn"	0
16	0.692406486742424	2	2	"Churn"	0
17	0.698203592814371	2	2	"Churn"	0
18	0.655545159680639	2	2	"Churn"	0
19	0.713190057757231	2	2	"Churn"	0
20	0.694903460296442	2	2	"Churn"	0
21	0.736692562221263	2	2	"Churn"	0
22	0.674003740468997	2	2	"Churn"	0
23	0.69726443768997	2	2	"Churn"	0
24	0.740762960087518	2	2	"Churn"	0
25	0.680069337151901	2	2	"Churn"	0
26	0.678067119017055	2	2	"Churn"	0
27	0.736139128308576	2	2	"Churn"	0
28	0.706977982954546	2	2	"Churn"	0
29	0.691424575965355	2	2	"Churn"	0
30	0.73273467278248	2	2	"Churn"	0
1	0.867813896229319	3	3	"Churn"	0
2	0.725003383255143	2	3	"Churn"	0
3	0.690627557827935	2	3	"Churn"	0
4	0.878161051483671	3	3	"Churn"	0
5	0.867342452676138	3	3	"Churn"	0
6	0.727152606732348	2	3	"Churn"	0
7	0.710438195616671	2	3	"Churn"	0
8	0.868852459016393	3	3	"Churn"	0
9	0.879451272833269	3	3	"Churn"	0
10	0.867728882144664	3	3	"Churn"	0
11	0.68437628371902	2	3	"Churn"	0
12	0.690003608805485	2	3	"Churn"	0
13	0.890256102440976	3	3	"Churn"	0
14	0.881243184296619	3	3	"Churn"	0
15	0.897685878243513	3	3	"Churn"	0
16	0.889580210766031	3	3	"Churn"	0
17	0.675417895771878	2	3	"Churn"	0
18	0.700599128540305	2	3	"Churn"	0
19	0.886131314508035	3	3	"Churn"	0
20	0.887660743511807	3	3	"Churn"	0
21	0.715880344042499	2	3	"Churn"	0
22	0.728278358809332	2	3	"Churn"	0
23	0.683944610778443	2	3	"Churn"	0
24	0.686245245139476	2	3	"Churn"	0
25	0.704863608698058	2	3	"Churn"	0
26	0.892357859531773	3	3	"Churn"	0
27	0.887947373603111	3	3	"Churn"	0
28	0.675816167897396	2	3	"Churn"	0
29	0.688193292632718	2	3	"Churn"	0
30	0.72340790719697	2	3	"Churn"	0
1	0.849188536953243	4	4	"Churn"	0
2	0.915527877557395	4	4	"Churn"	0
3	0.909352649917477	4	4	"Churn"	0
4	0.92241880152714	4	4	"Churn"	0
5	0.897165608231182	4	4	"Churn"	0
6	0.924210208326072	4	4	"Churn"	0
7	0.906317665102851	4	4	"Churn"	0
8	0.894166471826046	4	4	"Churn"	0
9	0.934381766510285	4	4	"Churn"	0
10	0.902838413634874	4	4	"Churn"	0
11	0.912472766884532	4	4	"Churn"	0
12	0.942966869196377	4	4	"Churn"	0
13	0.901590898192107	4	4	"Churn"	0
14	0.911806193194672	4	4	"Churn"	0
15	0.935542826996269	4	4	"Churn"	0
16	0.912872872091207	4	4	"Churn"	0
17	0.902940548416676	4	4	"Churn"	0
18	0.907557189542484	4	4	"Churn"	0
19	0.91346059173928	4	4	"Churn"	0
20	0.949074558193036	4	4	"Churn"	0
21	0.919710144927536	4	4	"Churn"	0
22	0.927450284090909	4	4	"Churn"	0
23	0.905349223946785	4	4	"Churn"	0
24	0.946437537085216	4	4	"Churn"	0
25	0.926071788231909	4	4	"Churn"	0
26	0.933286480295695	4	4	"Churn"	0
27	0.938747632439878	4	4	"Churn"	0
28	0.915467210591133	4	4	"Churn"	0
29	0.913862876254181	4	4	"Churn"	0
30	0.915020316659661	4	4	"Churn"	0
1	0.942181581439394	5	5	"Churn"	0
2	0.902400039649597	5	5	"Churn"	0
