"dataset_name"	"prop_switch_y"	"max_mean_auc"
"Churn"	0	0.932912460379887
"Churn"	0.025	0.914090420424737
"Churn"	0.05	0.913622776098874
"Churn"	0.075	0.909266576034903
"Churn"	0.1	0.904930170496796
"Churn"	0.125	0.907977362930725
"Churn"	0.15	0.907166708455477
"Churn"	0.175	0.898318787460889
"Churn"	0.2	0.893198278980497
"Churn"	0.225	0.889536435029084
"Churn"	0.25	0.862844535670908
"Churn"	0.275	0.853846789801023
"Churn"	0.3	0.852485069975192
"Churn"	0.325	0.821887264809619
"Churn"	0.35	0.802520002099748
"Churn"	0.375	0.766048450036699
"Churn"	0.4	0.760902912904012
"Churn"	0.425	0.704354301047695
"Churn"	0.45	0.662623515259307
"Churn"	0.475	0.579434116155067
"Churn"	0.5	0.513615113654923
"Heart"	0	0.887662728888589
"Heart"	0.025	0.880563623595694
"Heart"	0.05	0.873485070840978
"Heart"	0.075	0.880586960282521
"Heart"	0.1	0.878160811712273
"Heart"	0.125	0.868121634481673
"Heart"	0.15	0.860796099752454
"Heart"	0.175	0.852355318637528
"Heart"	0.2	0.856552376815472
"Heart"	0.225	0.844751649447318
"Heart"	0.25	0.831923392002312
"Heart"	0.275	0.824811725155335
"Heart"	0.3	0.813383192874852
"Heart"	0.325	0.807866651299793
"Heart"	0.35	0.803761415843716
"Heart"	0.375	0.76399272236434
"Heart"	0.4	0.724580175427566
"Heart"	0.425	0.683457319891885
"Heart"	0.45	0.608430791507508
"Heart"	0.475	0.550285961105754
"Heart"	0.5	0.514844788566315
"Obesity"	0	0.988703029473924
"Obesity"	0.025	0.987285831338786
"Obesity"	0.05	0.984330497173912
"Obesity"	0.075	0.984507413454167
"Obesity"	0.1	0.982870848223527
"Obesity"	0.125	0.983669089065928
"Obesity"	0.15	0.9828069161643
"Obesity"	0.175	0.975837433071617
"Obesity"	0.2	0.97252283566752
"Obesity"	0.225	0.967241445328345
"Obesity"	0.25	0.963459332958887
"Obesity"	0.275	0.953448208285748
"Obesity"	0.3	0.944287105520759
"Obesity"	0.325	0.943926668344427
"Obesity"	0.35	0.927938449183465
"Obesity"	0.375	0.916186200729341
"Obesity"	0.4	0.886808271949063
"Obesity"	0.425	0.86693487108837
"Obesity"	0.45	0.802479576638519
"Obesity"	0.475	0.629454357869712
"Obesity"	0.5	0.513516409701602
