"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.872933915399669	1	1	"Corte 1"	"Yes"	0.1
2	0.5	0	1	"Corte 1"	"Yes"	0.1
3	0.5	0	1	"Corte 1"	"Yes"	0.1
4	0.5	0	1	"Corte 1"	"Yes"	0.1
5	0.5	0	1	"Corte 1"	"Yes"	0.1
6	0.867279062401014	1	1	"Corte 1"	"Yes"	0.1
7	0.5	0	1	"Corte 1"	"Yes"	0.1
8	0.5	0	1	"Corte 1"	"Yes"	0.1
9	0.856696428571429	1	1	"Corte 1"	"Yes"	0.1
10	0.5	0	1	"Corte 1"	"Yes"	0.1
11	0.5	0	1	"Corte 1"	"Yes"	0.1
12	0.874301350721938	1	1	"Corte 1"	"Yes"	0.1
13	0.5	0	1	"Corte 1"	"Yes"	0.1
14	0.5	0	1	"Corte 1"	"Yes"	0.1
15	0.5	0	1	"Corte 1"	"Yes"	0.1
16	0.5	0	1	"Corte 1"	"Yes"	0.1
17	0.5	0	1	"Corte 1"	"Yes"	0.1
18	0.5	0	1	"Corte 1"	"Yes"	0.1
19	0.84592227695676	1	1	"Corte 1"	"Yes"	0.1
20	0.839877501914033	1	1	"Corte 1"	"Yes"	0.1
21	0.5	0	1	"Corte 1"	"Yes"	0.1
22	0.855417101294015	1	1	"Corte 1"	"Yes"	0.1
23	0.5	0	1	"Corte 1"	"Yes"	0.1
24	0.5	0	1	"Corte 1"	"Yes"	0.1
25	0.851083462316943	1	1	"Corte 1"	"Yes"	0.1
26	0.5	0	1	"Corte 1"	"Yes"	0.1
27	0.5	0	1	"Corte 1"	"Yes"	0.1
28	0.5	0	1	"Corte 1"	"Yes"	0.1
29	0.5	0	1	"Corte 1"	"Yes"	0.1
30	0.5	0	1	"Corte 1"	"Yes"	0.1
1	0.958974690082645	2	2	"Corte 1"	"Yes"	0.1
2	0.969448123620309	2	2	"Corte 1"	"Yes"	0.1
3	0.931141363802115	2	2	"Corte 1"	"Yes"	0.1
4	0.931420161883738	2	2	"Corte 1"	"Yes"	0.1
5	0.950129132231405	2	2	"Corte 1"	"Yes"	0.1
6	0.955849889624724	2	2	"Corte 1"	"Yes"	0.1
7	0.937931034482759	2	2	"Corte 1"	"Yes"	0.1
8	0.926855426855427	2	2	"Corte 1"	"Yes"	0.1
9	0.947236570247934	2	2	"Corte 1"	"Yes"	0.1
10	0.953185328185328	2	2	"Corte 1"	"Yes"	0.1
11	0.958151044514929	2	2	"Corte 1"	"Yes"	0.1
12	0.923290598290598	2	2	"Corte 1"	"Yes"	0.1
13	0.962727393440446	2	2	"Corte 1"	"Yes"	0.1
14	0.926970472675319	2	2	"Corte 1"	"Yes"	0.1
15	0.9388711607499	2	2	"Corte 1"	"Yes"	0.1
16	0.940890919474586	2	2	"Corte 1"	"Yes"	0.1
17	0.947344436158754	2	2	"Corte 1"	"Yes"	0.1
18	0.940508770558032	2	2	"Corte 1"	"Yes"	0.1
19	0.962900309917355	2	2	"Corte 1"	"Yes"	0.1
20	0.912984261501211	2	2	"Corte 1"	"Yes"	0.1
21	0.923691548691549	2	2	"Corte 1"	"Yes"	0.1
22	0.937135373258721	2	2	"Corte 1"	"Yes"	0.1
23	0.93417868041671	2	2	"Corte 1"	"Yes"	0.1
24	0.928324800571497	2	2	"Corte 1"	"Yes"	0.1
25	0.959853647496668	2	2	"Corte 1"	"Yes"	0.1
26	0.962667410714286	2	2	"Corte 1"	"Yes"	0.1
27	0.933649553571429	2	2	"Corte 1"	"Yes"	0.1
28	0.948585845173284	2	2	"Corte 1"	"Yes"	0.1
29	0.960518554268554	2	2	"Corte 1"	"Yes"	0.1
30	0.940503587383241	2	2	"Corte 1"	"Yes"	0.1
1	0.934985754985755	3	3	"Corte 1"	"Yes"	0.1
2	0.975529324744969	3	3	"Corte 1"	"Yes"	0.1
3	0.933952994290267	3	3	"Corte 1"	"Yes"	0.1
4	0.944834846330526	3	3	"Corte 1"	"Yes"	0.1
5	0.941047311293396	3	3	"Corte 1"	"Yes"	0.1
6	0.961938169538891	3	3	"Corte 1"	"Yes"	0.1
7	0.9539401728098	3	3	"Corte 1"	"Yes"	0.1
8	0.95726086098503	3	3	"Corte 1"	"Yes"	0.1
9	0.963083479713191	3	3	"Corte 1"	"Yes"	0.1
10	0.938218101189276	2	3	"Corte 1"	"Yes"	0.1
11	0.974908020603385	3	3	"Corte 1"	"Yes"	0.1
12	0.974017763058859	3	3	"Corte 1"	"Yes"	0.1
13	0.95243607281911	2	3	"Corte 1"	"Yes"	0.1
14	0.923521434955466	3	3	"Corte 1"	"Yes"	0.1
15	0.973863134657837	3	3	"Corte 1"	"Yes"	0.1
16	0.970543210467147	3	3	"Corte 1"	"Yes"	0.1
17	0.93516731016731	3	3	"Corte 1"	"Yes"	0.1
18	0.916763117283951	3	3	"Corte 1"	"Yes"	0.1
19	0.957021228609287	3	3	"Corte 1"	"Yes"	0.1
20	0.933586762075134	3	3	"Corte 1"	"Yes"	0.1
21	0.956496675246675	3	3	"Corte 1"	"Yes"	0.1
22	0.95704272046983	3	3	"Corte 1"	"Yes"	0.1
23	0.985712520084044	3	3	"Corte 1"	"Yes"	0.1
24	0.93116845274711	3	3	"Corte 1"	"Yes"	0.1
