"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.674193548387097	1	1	"Obesity"	"Yes"	0.1
2	0.68695652173913	1	1	"Obesity"	"Yes"	0.1
3	0.678185745140389	1	1	"Obesity"	"Yes"	0.1
4	0.691397849462366	1	1	"Obesity"	"Yes"	0.1
5	0.676595744680851	1	1	"Obesity"	"Yes"	0.1
6	0.685466377440347	1	1	"Obesity"	"Yes"	0.1
7	0.678571428571429	1	1	"Obesity"	"Yes"	0.1
8	0.679347826086957	1	1	"Obesity"	"Yes"	0.1
9	0.668410041841004	1	1	"Obesity"	"Yes"	0.1
10	0.679120879120879	1	1	"Obesity"	"Yes"	0.1
11	0.676025917926566	1	1	"Obesity"	"Yes"	0.1
12	0.655021834061135	1	1	"Obesity"	"Yes"	0.1
13	0.66887417218543	1	1	"Obesity"	"Yes"	0.1
14	0.677874186550976	1	1	"Obesity"	"Yes"	0.1
15	0.900962890375357	1	1	"Obesity"	"Yes"	0.1
16	0.680131004366812	1	1	"Obesity"	"Yes"	0.1
17	0.658296943231441	1	1	"Obesity"	"Yes"	0.1
18	0.684901531728665	1	1	"Obesity"	"Yes"	0.1
19	0.672222222222222	1	1	"Obesity"	"Yes"	0.1
20	0.674892703862661	1	1	"Obesity"	"Yes"	0.1
21	0.676282051282051	1	1	"Obesity"	"Yes"	0.1
22	0.680921052631579	1	1	"Obesity"	"Yes"	0.1
23	0.681917211328976	1	1	"Obesity"	"Yes"	0.1
24	0.687089715536105	1	1	"Obesity"	"Yes"	0.1
25	0.676789587852495	1	1	"Obesity"	"Yes"	0.1
26	0.663066954643629	1	1	"Obesity"	"Yes"	0.1
27	0.670626349892009	1	1	"Obesity"	"Yes"	0.1
28	0.665236051502146	1	1	"Obesity"	"Yes"	0.1
29	0.669527896995708	1	1	"Obesity"	"Yes"	0.1
30	0.668845315904139	1	1	"Obesity"	"Yes"	0.1
1	0.920305676855895	2	2	"Obesity"	"Yes"	0.1
2	0.906886426068012	2	2	"Obesity"	"Yes"	0.1
3	0.923122083396056	2	2	"Obesity"	"Yes"	0.1
4	0.943028932015716	2	2	"Obesity"	"Yes"	0.1
5	0.91940537084399	2	2	"Obesity"	"Yes"	0.1
6	0.910183113762532	2	2	"Obesity"	"Yes"	0.1
7	0.926684341859014	2	2	"Obesity"	"Yes"	0.1
8	0.922751322751323	2	2	"Obesity"	"Yes"	0.1
9	0.931751653355499	2	2	"Obesity"	"Yes"	0.1
10	0.914670210998505	2	2	"Obesity"	"Yes"	0.1
11	0.925735171955474	2	2	"Obesity"	"Yes"	0.1
12	0.943542199488491	2	2	"Obesity"	"Yes"	0.1
13	0.927292404565132	2	2	"Obesity"	"Yes"	0.1
14	0.929888685828211	2	2	"Obesity"	"Yes"	0.1
15	0.916923076923077	2	2	"Obesity"	"Yes"	0.1
16	0.916666666666667	2	2	"Obesity"	"Yes"	0.1
17	0.931110491071429	2	2	"Obesity"	"Yes"	0.1
18	0.907407407407407	2	2	"Obesity"	"Yes"	0.1
19	0.906870204293068	2	2	"Obesity"	"Yes"	0.1
20	0.941697451927631	2	2	"Obesity"	"Yes"	0.1
21	0.944874303778413	2	2	"Obesity"	"Yes"	0.1
22	0.923438205629986	2	2	"Obesity"	"Yes"	0.1
23	0.922971548998946	2	2	"Obesity"	"Yes"	0.1
24	0.945619009461584	2	2	"Obesity"	"Yes"	0.1
25	0.922685533644438	2	2	"Obesity"	"Yes"	0.1
26	0.933048012593467	2	2	"Obesity"	"Yes"	0.1
27	0.890579830536634	2	2	"Obesity"	"Yes"	0.1
28	0.924904092071611	2	2	"Obesity"	"Yes"	0.1
29	0.913858792713418	2	2	"Obesity"	"Yes"	0.1
30	0.931750698649278	2	2	"Obesity"	"Yes"	0.1
1	0.945712079194018	3	3	"Obesity"	"Yes"	0.1
2	0.949462154007609	3	3	"Obesity"	"Yes"	0.1
3	0.948549594510293	3	3	"Obesity"	"Yes"	0.1
4	0.944613171355499	3	3	"Obesity"	"Yes"	0.1
5	0.948675062311426	3	3	"Obesity"	"Yes"	0.1
6	0.965062675633861	3	3	"Obesity"	"Yes"	0.1
7	0.939817774936061	3	3	"Obesity"	"Yes"	0.1
8	0.938891534706513	3	3	"Obesity"	"Yes"	0.1
9	0.933793502222543	3	3	"Obesity"	"Yes"	0.1
10	0.935489766081871	3	3	"Obesity"	"Yes"	0.1
11	0.924358258928571	3	3	"Obesity"	"Yes"	0.1
12	0.961553514978173	3	3	"Obesity"	"Yes"	0.1
13	0.939173789173789	3	3	"Obesity"	"Yes"	0.1
14	0.946238635166918	3	3	"Obesity"	"Yes"	0.1
15	0.9330559462416	3	3	"Obesity"	"Yes"	0.1
16	0.9462890625	3	3	"Obesity"	"Yes"	0.1
17	0.940766433189655	3	3	"Obesity"	"Yes"	0.1
18	0.943536115517855	3	3	"Obesity"	"Yes"	0.1
19	0.932447250373816	3	3	"Obesity"	"Yes"	0.1
20	0.950332821300563	3	3	"Obesity"	"Yes"	0.1
21	0.958704309256321	3	3	"Obesity"	"Yes"	0.1
22	0.956781574589794	3	3	"Obesity"	"Yes"	0.1
23	0.932649572649573	3	3	"Obesity"	"Yes"	0.1
24	0.954939000393546	3	3	"Obesity"	"Yes"	0.1
25	0.950401495223591	3	3	"Obesity"	"Yes"	0.1
26	0.962211478477854	3	3	"Obesity"	"Yes"	0.1
27	0.949187820214252	3	3	"Obesity"	"Yes"	0.1
28	0.948522031922815	3	3	"Obesity"	"Yes"	0.1
29	0.931125356125356	3	3	"Obesity"	"Yes"	0.1
30	0.944078034949302	3	3	"Obesity"	"Yes"	0.1
1	0.963105048782798	4	4	"Obesity"	"Yes"	0.1
2	0.946377544945827	4	4	"Obesity"	"Yes"	0.1
3	0.955898238164413	4	4	"Obesity"	"Yes"	0.1
4	0.954213606037406	4	4	"Obesity"	"Yes"	0.1
5	0.973957530742442	4	4	"Obesity"	"Yes"	0.1
6	0.963570675899443	4	4	"Obesity"	"Yes"	0.1
7	0.955226608187134	4	4	"Obesity"	"Yes"	0.1
8	0.959096195381293	4	4	"Obesity"	"Yes"	0.1
9	0.959519442406456	4	4	"Obesity"	"Yes"	0.1
10	0.913443732193732	4	4	"Obesity"	"Yes"	0.1
