"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.662775107513281	1	1	"Churn"	"Yes"	0.1
2	0.685867524805578	1	1	"Churn"	"Yes"	0.1
3	0.655704374057315	1	1	"Churn"	"Yes"	0.1
4	0.666017964071856	1	1	"Churn"	"Yes"	0.1
5	0.668294782758423	1	1	"Churn"	"Yes"	0.1
6	0.692420074576686	1	1	"Churn"	"Yes"	0.1
7	0.673692925298105	1	1	"Churn"	"Yes"	0.1
8	0.677904351395731	1	1	"Churn"	"Yes"	0.1
9	0.679724260055654	1	1	"Churn"	"Yes"	0.1
10	0.655563186813187	1	1	"Churn"	"Yes"	0.1
11	0.704309554373739	1	1	"Churn"	"Yes"	0.1
12	0.677799431897793	1	1	"Churn"	"Yes"	0.1
13	0.675050924988385	1	1	"Churn"	"Yes"	0.1
14	0.694760479041916	1	1	"Churn"	"Yes"	0.1
15	0.655962169601581	1	1	"Churn"	"Yes"	0.1
16	0.675005574136009	1	1	"Churn"	"Yes"	0.1
17	0.692363341214666	1	1	"Churn"	"Yes"	0.1
18	0.652580492424242	1	1	"Churn"	"Yes"	0.1
19	0.669058141537049	1	1	"Churn"	"Yes"	0.1
20	0.637777093596059	1	1	"Churn"	"Yes"	0.1
21	0.667242123435477	1	1	"Churn"	"Yes"	0.1
22	0.676867335562988	1	1	"Churn"	"Yes"	0.1
23	0.674033211118212	1	1	"Churn"	"Yes"	0.1
24	0.67545008183306	1	1	"Churn"	"Yes"	0.1
25	0.65219002399166	1	1	"Churn"	"Yes"	0.1
26	0.663082050544286	1	1	"Churn"	"Yes"	0.1
27	0.641375928261174	1	1	"Churn"	"Yes"	0.1
28	0.674566609401843	1	1	"Churn"	"Yes"	0.1
29	0.68367860739462	1	1	"Churn"	"Yes"	0.1
30	0.687307485722429	1	1	"Churn"	"Yes"	0.1
1	0.711724019101068	2	2	"Churn"	"Yes"	0.1
2	0.6976306479088	2	2	"Churn"	"Yes"	0.1
3	0.679000364658691	2	2	"Churn"	"Yes"	0.1
4	0.695181937427128	2	2	"Churn"	"Yes"	0.1
5	0.689622037155669	2	2	"Churn"	"Yes"	0.1
6	0.68190635451505	2	2	"Churn"	"Yes"	0.1
7	0.700220062350999	2	2	"Churn"	"Yes"	0.1
8	0.69310407239819	2	2	"Churn"	"Yes"	0.1
9	0.660617584797913	2	2	"Churn"	"Yes"	0.1
10	0.66806743101438	2	2	"Churn"	"Yes"	0.1
11	0.691013291062066	2	2	"Churn"	"Yes"	0.1
12	0.674449573863636	2	2	"Churn"	"Yes"	0.1
13	0.684817532249556	2	2	"Churn"	"Yes"	0.1
14	0.6795324341393	2	2	"Churn"	"Yes"	0.1
15	0.675762007389163	2	2	"Churn"	"Yes"	0.1
16	0.661782190741209	2	2	"Churn"	"Yes"	0.1
17	0.684748285817394	2	2	"Churn"	"Yes"	0.1
18	0.687976385316811	2	2	"Churn"	"Yes"	0.1
19	0.66177906388585	2	2	"Churn"	"Yes"	0.1
20	0.700753851196329	2	2	"Churn"	"Yes"	0.1
21	0.685570816718358	2	2	"Churn"	"Yes"	0.1
22	0.693092069996545	2	2	"Churn"	"Yes"	0.1
23	0.663631765300961	2	2	"Churn"	"Yes"	0.1
24	0.684385296207765	2	2	"Churn"	"Yes"	0.1
25	0.721100101626016	2	2	"Churn"	"Yes"	0.1
26	0.641412604437559	2	2	"Churn"	"Yes"	0.1
27	0.651124526515152	2	2	"Churn"	"Yes"	0.1
28	0.706372549019608	2	2	"Churn"	"Yes"	0.1
29	0.680697344753237	2	2	"Churn"	"Yes"	0.1
30	0.688047052871237	2	2	"Churn"	"Yes"	0.1
1	0.669598765432099	2	3	"Churn"	"Yes"	0.1
2	0.860176357538531	3	3	"Churn"	"Yes"	0.1
3	0.860043005312421	3	3	"Churn"	"Yes"	0.1
4	0.657265072263895	2	3	"Churn"	"Yes"	0.1
5	0.849772036474164	3	3	"Churn"	"Yes"	0.1
6	0.876089015151515	3	3	"Churn"	"Yes"	0.1
7	0.689882734530938	2	3	"Churn"	"Yes"	0.1
8	0.868340500885403	3	3	"Churn"	"Yes"	0.1
9	0.662947451893888	2	3	"Churn"	"Yes"	0.1
10	0.849276380863137	3	3	"Churn"	"Yes"	0.1
11	0.840891402764532	3	3	"Churn"	"Yes"	0.1
12	0.884614891215107	3	3	"Churn"	"Yes"	0.1
13	0.837489069179946	3	3	"Churn"	"Yes"	0.1
14	0.855917082780924	3	3	"Churn"	"Yes"	0.1
15	0.714075286415712	2	3	"Churn"	"Yes"	0.1
16	0.846732522796353	3	3	"Churn"	"Yes"	0.1
17	0.652342830233106	2	3	"Churn"	"Yes"	0.1
18	0.687905094634812	2	3	"Churn"	"Yes"	0.1
19	0.711029597773843	2	3	"Churn"	"Yes"	0.1
20	0.823406435012567	3	3	"Churn"	"Yes"	0.1
21	0.676163673159626	3	3	"Churn"	"Yes"	0.1
22	0.890532208915031	3	3	"Churn"	"Yes"	0.1
23	0.875176107656432	3	3	"Churn"	"Yes"	0.1
24	0.883861236802413	3	3	"Churn"	"Yes"	0.1
25	0.865651934714836	3	3	"Churn"	"Yes"	0.1
